Date_Time	Data_Type	Process	 Fat	 SNF	Density	  Water	LTC	GSS		 
100623173153	D	MS	 4.82	 7.26	23.55	 13	27194	4
100623173243	D	MS	 5.96	 8.70	28.35	  0	27209	4
100623173441	D	MS	 5.11	 8.49	28.23	  0	27213	4
100623173535	D	MS	 5.26	 8.63	28.66	  0	27316	4
100623173656	D	MS	 4.12	 8.11	27.54	  4	27282	4
100623173842	D	MS	 4.78	 8.51	28.58	  0	27179	4
100623174007	D	MS	 4.46	 8.66	29.45	  0	27073	4
100623174059	D	MS	 3.80	 8.44	29.13	  0	27280	4
100623174223	D	MS	 4.74	 8.48	28.50	  0	27178	4
100623174349	D	MS	 3.91	 7.47	25.16	 10	27142	4
100623174520	D	MS	 4.72	 8.46	28.44	  0	27223	4
100623174636	D	MS	 5.31	 8.28	27.22	  2	27148	4
100623174800	D	MS	 4.57	 7.88	26.24	  6	27264	4
100623175209	D	MS	 5.16	 8.13	26.75	  4	27188	4
100623175356	D	MS	 5.14	 8.11	26.68	  4	27265	4
100623175614	D	MS	 5.16	 8.14	26.79	  4	27263	4
100623175710	D	MS	 5.78	 8.25	26.70	  3	27264	4
100623175826	D	MS	 4.75	 8.45	28.37	  0	27193	4
100623180014	D	MS	 4.62	 8.13	27.20	  4	27170	4
100623180103	D	MS	 4.60	 8.10	27.10	  4	27348	4
100623180319	D	MS	 4.68	 8.21	27.47	  3	27289	4
100623180408	D	MS	 4.64	 8.17	27.34	  3	27463	4
100623180503	D	MS	 4.67	 8.21	27.48	  3	27529	4
100623180544	D	MS	 4.67	 8.21	27.48	  3	27652	4
100623180637	D	MS	 6.72	 8.50	26.92	  0	27255	4
100623182025	D	CLN	 0.25	 1.79	 5.51	 74	26863	3
100623182530	C	25
100623183226	D	CLN	 0.00	 4.12	15.04	 46	26883	3
100623183732	C	25
110623065704	D	MS	 3.15	 8.17	28.59	  3	27157	4
110623070008	D	MS	 3.62	 8.31	28.76	  1	27112	4
110623070419	D	MS	 2.99	 8.69	30.81	  0	27061	4
110623071311	D	MS	 3.85	 8.22	28.21	  2	27143	4
110623071439	D	MS	 5.34	 8.78	29.19	  0	27218	4
110623071924	D	MS	 4.27	 8.52	29.05	  0	27213	4
110623072109	D	MS	 4.32	 8.89	30.49	  0	27120	4
110623072221	D	MS	 3.03	 8.34	29.37	  1	27213	4
110623072325	D	MS	 4.32	 8.57	29.21	  0	27241	4
110623072418	D	MS	 5.96	 8.78	28.67	  0	27226	4
110623072521	D	MS	 3.23	 8.11	28.29	  3	27255	4
110623072741	D	MS	 3.67	 8.27	28.56	  2	27130	4
110623072937	D	MS	 3.56	 8.52	29.65	  0	27189	4
110623073317	D	MS	 3.21	 8.29	29.02	  1	27215	4
110623074027	D	MS	 3.50	 8.09	27.98	  4	27089	4
110623074123	D	MS	 4.34	 9.06	31.15	  0	27283	4
110623074249	D	MS	 4.44	 8.64	29.39	  0	27219	4
110623074406	D	MS	 5.06	 8.31	27.55	  2	27231	4
110623074542	D	MS	 4.96	 8.65	28.99	  0	27188	4
110623074756	D	MS	 3.64	 8.28	28.62	  2	27181	4
110623075113	D	MS	 3.55	 8.55	29.78	  0	27034	4
110623075330	D	MS	 3.44	 8.48	29.59	  0	27136	4
110623075445	D	MS	 3.57	 8.18	28.28	  3	27213	4
110623075716	D	MS	 3.94	 8.59	29.61	  0	27133	4
110623075855	D	MS	 3.95	 8.78	30.36	  0	27021	4
110623080132	D	MS	 3.44	 8.39	29.23	  0	27106	4
110623080235	D	MS	 5.06	 8.71	29.15	  0	27117	4
110623080401	D	MS	 4.14	 8.45	28.88	  0	27152	4
110623080548	D	MS	 3.66	 8.63	30.01	  0	27166	4
110623080654	D	MS	 5.41	 8.77	29.10	  0	27238	4
110623080859	D	MS	 4.46	 8.70	29.61	  0	27212	4
110623081005	D	MS	 3.32	 8.39	29.33	  0	27248	4
110623081530	D	MS	 3.59	 8.36	28.98	  1	27107	4
110623081702	D	MS	 2.59	 8.90	31.98	  0	27063	4
110623081815	D	MS	 3.19	 7.89	27.44	  6	26986	4
110623082021	D	MS	 3.16	 8.41	29.55	  0	27135	4
110623082325	D	MS	 4.56	 8.56	28.97	  0	27159	4
110623082433	D	MS	 3.87	 8.42	28.99	  0	27175	4
110623082527	D	MS	 3.57	 8.30	28.76	  1	27228	4
110623082835	D	MS	 3.42	 8.31	28.93	  1	27187	4
110623083107	D	MS	 3.17	 8.33	29.22	  1	27148	4
110623083425	D	MS	 3.73	 8.30	28.63	  2	27154	4
110623083534	D	MS	 3.46	 8.20	28.45	  2	27338	4
110623083654	D	MS	 4.02	 8.27	28.26	  2	27300	4
110623083751	D	MS	 2.04	 8.72	31.73	  0	27338	4
110623083919	D	MS	 3.12	 8.17	28.62	  3	27096	4
110623084021	D	MS	 2.65	 7.74	27.29	  7	27275	4
110623084125	D	MS	 3.16	 8.18	28.63	  3	27191	4
110623084215	D	MS	 3.68	 8.28	28.59	  2	27231	4
110623084307	D	MS	 2.35	 8.35	29.99	  1	27337	4
110623084403	D	MS	 3.14	 8.18	28.64	  3	27266	4
110623084509	D	MS	 4.04	 7.83	26.49	  7	27119	4
110623084608	D	MS	 3.70	 7.89	27.01	  6	27199	4
